id,url,linkable_type,linkable_id,created_by_id,last_updated_by_id
123,http://stackoverflow.com/questions/5798549/why-cant-i-start-the-mongodb,Node,58,,
124,http://blog.troygrosfield.com/2011/03/21/installing-and-running-mongodb-on-a-mac/,Node,58,1,1
125,http://railscasts.com/episodes/194-mongodb-and-mongomapper,Node,58,1,1
126,http://www.alistapart.com/topics/design/layout/,Node,59,,
127,https://github.com/bbatsov/rails-style-guide,Node,59,1,1
128,http://ariejan.net/2011/10/13/fast-specs-run-your-specs-in-less-than-1-second,Node,60,1,1
129,http://www.adomokos.com/2011/10/running-fast-rspec-tests-with-and.html,Node,60,1,1
130,http://blog.steveklabnik.com/2011/09/06/the-secret-to-rails-oo-design.html,Node,60,1,1
131,http://blog.steveklabnik.com/2011/09/22/extracting-domain-models-a-practical-example.html,Node,60,1,1
132,http://blog.steveklabnik.com/2011/09/23/more-rstat-dot-us-refactoring.html,Node,60,1,1
133,http://railscasts.com/episodes/286-draper,Node,61,1,1
134,http://railsforum.com/viewtopic.php?id=1042http://railsforum.com/viewtopic.php?id=1042,Node,8,1,1
135,http://blog.leshill.org/blog/2011/10/23/fast-specs.html,Node,60,1,1
136,http://yekmer.posterous.com/devise-gmail-smtp-configuration,Node,43,1,1
137,http://wekeroad.com/2010/05/24/vim-kata-one,Node,15,1,1
139,http://railscasts.com/episodes/259-decent-exposure,Node,62,,
140,https://gomockingbird.com/,Node,63,,
141,http://balsamiq.com/,Node,63,,
145,http://www.smashingmagazine.com/,Node,66,,
146,http://instacss.com/,Node,66,1,1
147,http://stackoverflow.com/questions/1218390/what-is-your-most-productive-shortcut-with-vim,Node,15,1,1
149,http://www.fprintf.net/vimCheatSheet.html,Node,15,1,1
150,http://meyerweb.com/eric/tools/css/reset/index.html,Node,66,8,8
153,http://sass-lang.com/,Node,67,,
154,http://davidwalsh.name/git-aliases,Node,5,1,1
155,http://www.colourlovers.com/,Node,66,1,1
158,http://www.adobe.com/products/fireworks/features.html,Node,59,1,1
159,http://projecteuler.net/,Node,7,1,1
160,http://www.uxbooth.com/blog/complete-beginners-guide-to-interaction-design/,Node,59,1,1
161,https://dnsimple.com/,Node,68,,
162,http://omgbloglol.com/post/13112129116/introducing-gem-git-tiny-tools-for-working-with-gems,Node,69,,
163,http://net.tutsplus.com/tutorials/ruby/the-intro-to-rails-screencast-i-wish-i-had/,Node,8,8,8
166,http://dryicons.com/free-icons/preview/coquette-icons-set/,Node,71,,
167,http://www.psdgraphics.com/category/psd/,Node,71,8,8
170,http://www.codeschool.com/courses/jquery-air-first-flight,Node,47,1,1
171,http://stackoverflow.com/questions/5535908/link-to-the-current-page-plus-merged-with-a-param,Node,72,,
172,http://asciicasts.com/episodes/215-advanced-queries-in-rails-3,Node,40,1,1
173,http://esa-matti.suuronen.org/blog/2011/11/28/how-to-write-coffeescript-efficiently/,Node,73,,
175,http://rubylearning.com/blog/2011/11/30/do-you-ponder-what-to-name-things-in-your-code/,Node,7,1,1
176,http://erniemiller.org/projects/metawhere/,Node,40,1,1
180,http://railstips.org/blog/archives/2011/12/01/creating-an-api/,Node,74,,
181,http://ie.microsoft.com/testdrive/graphics/cssgradientbackgroundmaker/default.html,Node,66,8,8
182,http://www.shayhowe.com/web-design/intro-to-html-css/,Node,66,1,1
